1, Deepa D Prabhu, Computer Science, Innovator, Developed an advanced algorithm for data compression, Speaker, Presented at national conferences, 96
2, Abhishek kini, Computer Science, Hackathon Winner, Won national coding hackathon, App Developer, Created a traffic management app, 96
3, Mayur Jaywant kamath, Mechanical Engineering, Research Intern, Worked at ISRO, Community Helper, Organized rural tech camps, 89
4, Asmitha Marciya, Electrical Engineering, Top Innovator, Built a solar-powered vehicle, Team Leader, Led a renewable energy project, 92
5, Karthik S J, Biotechnology, Young Researcher, Developed eco-friendly bio-fertilizer, Speaker, Presented at international conferences, 94
6, Rohit Singh, Civil Engineering, Green Architect, Designed a sustainable building, Volunteer, Built homes for underprivileged, 90
7, Ananya Das, Computer Science, Data Analyst, Created data models for startups, Blogger, Wrote tech blogs on AI, 93
8, Siddharth Menon, Electronics, Circuit Designer, Designed a low-cost hearing aid, Innovator, Built IoT-based devices, 93
9, Kavya Nair, Physics, Quantum Enthusiast, Researched quantum mechanics, Tutor, Helped students with physics problems, 88
10, Akash Kumar, Mechanical Engineering, Roboticist, Created a waste-sorting robot, Mentor, Guided junior robotics teams, 91
11, Sneha Roy, Chemistry, Analytical Chemist, Studied water purification methods, Environmentalist, Promoted waste reduction, 87
12, Ramesh Chandra, Mathematics, Math Genius, Solved complex equations, Author, Published a book on calculus, 94
13, Lakshmi Pillai, Biotechnology, Genetic Researcher, Studied hereditary diseases, Speaker, Spoke at genetic conferences, 90
14, Harish Verma, Computer Science, Cybersecurity Expert, Secured sensitive networks, Developer, Built a password manager, 92
15, Pooja Kapoor, Biology, Conservationist, Worked on wildlife protection, Educator, Taught biodiversity courses, 88
16, Vikas Jain, Electronics, IoT Developer, Created smart home solutions, Engineer, Worked on electric vehicle sensors, 91
17, Nidhi Bhardwaj, Electrical Engineering, Solar Innovator, Designed solar panel systems, Volunteer, Conducted energy workshops, 93
18, Ashok Rao, Civil Engineering, Structural Engineer, Designed earthquake-resistant structures, Organizer, Held design competitions, 89
19, Sanjana Patil, Physics, Astrophysics Enthusiast, Researched black holes, Public Speaker, Delivered science talks, 92
20, Karan Mehta, Mechanical Engineering, Automotive Engineer, Designed a fuel-efficient engine, Innovator, Patented a cooling system, 95
21, Deepa Mohan, Computer Science, AI Specialist, Built an AI-based chatbot, Content Creator, Posted tutorials on Python, 90
22, Aarav Joshi, Electronics, Robotics Expert, Built an autonomous drone, Leader, Guided a robotics team to success, 89
23, Radha Shankar, Chemistry, Lab Researcher, Developed eco-friendly chemicals, Activist, Promoted chemical safety awareness, 91
24, Mohit Aggarwal, Mathematics, Olympiad Winner, Won the international math competition, Coach, Trained students for olympiads, 94
25, Tanya Malik, Biology, Geneticist, Studied rare genetic disorders, Writer, Published research articles, 93
26, Anil Naik, Electrical Engineering, Smart Grid Developer, Improved power distribution systems, Analyst, Worked on energy data, 92
27, Shivani Deshmukh, Computer Science, App Designer, Developed a study planner app, Speaker, Motivated students at seminars, 88
28, Gopal Krishnan, Mechanical Engineering, Machine Designer, Built an efficient cooling fan, Helper, Conducted skill workshops, 90
29, Ayesha Khan, Biotechnology, Vaccine Researcher, Worked on a malaria vaccine, Volunteer, Educated on vaccination, 89
